Institution_Name,Branch_Name,Address,City,State,ZIP_Code,County_Name,County_FIPS_Code,Branch_ID,FDIC_ID,Total_Deposits_Millions,Est_Year,Geographic_Coordinates
"Bank of America, National Association",CRENSHAW CENTER BRANCH,3945 Crenshaw Blvd,Los Angeles,CA,90008,Los Angeles,,197841,197841,,11/26/1962,
"Bank of America, National Association",ATLANTIC-WHITTIER BOULEVARD BRANCH,941 S Atlantic Blvd,Los Angeles,CA,90022,Los Angeles,,197844,197844,,12/24/1934,
"Bank of America, National Association",BOYLE HEIGHTS BRANCH,2305 E Cesar E Chavez Ave,Los Angeles,CA,90033,Los Angeles,,197851,197851,,02/19/1927,
"Bank of America, National Association",EAGLE ROCK BRANCH,2263 Colorado Blvd,Los Angeles,CA,90041,Los Angeles,,197853,197853,,02/19/1927,
"Bank of America, National Association",LINCOLN HEIGHTS BRANCH,2400 N Broadway,Los Angeles,CA,90031,Los Angeles,,197860,197860,,02/19/1927,
"Bank of America, National Association",LA BREA-ROSEWOOD BRANCH,466 N La Brea Ave,Los Angeles,CA,90036,Los Angeles,,197869,197869,,02/19/1927,
"Bank of America, National Association",PICO-VERMONT BRANCH,1232 S Vermont Ave,Los Angeles,CA,90006,Los Angeles,,197872,197872,,05/01/1913,
"Bank of America, National Association",PICO-LA CIENEGA BRANCH,8501 W Pico Blvd,Los Angeles,CA,90035,Los Angeles,,197874,197874,,09/10/1936,
"Bank of America, National Association",LOS ANGELES INDUSTRIAL BRANCH,6400 Avalon Blvd,Los Angeles,CA,90003,Los Angeles,,197888,197888,,11/03/1930,
"Bank of America, National Association",SLAUSON-VERMONT BRANCH,5700 S Vermont Ave,Los Angeles,CA,90037,Los Angeles,,197889,197889,,10/17/1904,
"Bank of America, National Association",SUNSET-ECHO PARK BRANCH,1572 W Sunset Blvd,Los Angeles,CA,90026,Los Angeles,,197892,197892,,02/19/1927,
"Bank of America, National Association",VERMONT-HOLLYWOOD BRANCH,1715 N Vermont Ave,Los Angeles,CA,90027,Los Angeles,,197902,197902,,02/19/1927,
"Bank of America, National Association",UNIVERSITY VILLAGE BRANCH,3201 S Hoover St,Los Angeles,CA,90089,Los Angeles,,197903,197903,,10/17/1904,
"Bank of America, National Association",LARCHMONT VILLAGE BRANCH,100 N Larchmont Blvd,Los Angeles,CA,90004,Los Angeles,,197909,197909,,10/17/1904,
"Bank of America, National Association",WESTCHESTER BRANCH,8946 S Sepulveda Blvd,Los Angeles,CA,90045,Los Angeles,,197910,197910,,10/17/1949,
